# Source File Name = manual_corpus.txt
#
# Memory Chunck Size = 4096
#
# Length in byte,Number of length,Total % of Length
#
2848,0,99.9996
2849,0,99.9996
2850,0,99.9996
2851,0,99.9996
2852,0,99.9996
2853,0,99.9996
2854,0,99.9996
2855,0,99.9996
2856,0,99.9996
2857,0,99.9996
2858,0,99.9996
2859,0,99.9996
2860,0,99.9996
2861,0,99.9996
2862,0,99.9996
2863,0,99.9996
2864,0,99.9996
2865,0,99.9996
2866,0,99.9996
2867,0,99.9996
2868,0,99.9996
2869,0,99.9996
2870,0,99.9996
2871,0,99.9996
2872,0,99.9996
2873,0,99.9996
2874,0,99.9996
2875,0,99.9996
2876,0,99.9996
2877,0,99.9996
2878,0,99.9996
2879,0,99.9996
2880,0,99.9996
2881,0,99.9996
2882,0,99.9996
2883,0,99.9996
2884,0,99.9996
2885,0,99.9996
2886,0,99.9996
2887,0,99.9996
2888,0,99.9996
2889,0,99.9996
2890,0,99.9996
2891,0,99.9996
2892,0,99.9996
2893,0,99.9996
2894,0,99.9996
2895,0,99.9996
2896,0,99.9996
2897,0,99.9996
2898,0,99.9996
2899,0,99.9996
2900,0,99.9996
2901,0,99.9996
2902,0,99.9996
2903,0,99.9996
2904,0,99.9996
2905,0,99.9996
2906,0,99.9996
2907,0,99.9996
2908,0,99.9996
2909,0,99.9996
2910,0,99.9996
2911,0,99.9996
2912,0,99.9996
2913,0,99.9996
2914,0,99.9996
2915,0,99.9996
2916,0,99.9996
2917,0,99.9996
2918,0,99.9996
2919,0,99.9996
2920,0,99.9996
2921,0,99.9996
2922,0,99.9996
2923,0,99.9996
2924,0,99.9996
2925,0,99.9996
2926,0,99.9996
2927,0,99.9996
2928,0,99.9996
2929,0,99.9996
2930,0,99.9996
2931,0,99.9996
2932,0,99.9996
2933,0,99.9996
2934,0,99.9996
2935,0,99.9996
2936,0,99.9996
2937,0,99.9996
2938,0,99.9996
2939,0,99.9996
2940,0,99.9996
2941,0,99.9996
2942,0,99.9996
2943,0,99.9996
2944,0,99.9996
2945,0,99.9996
2946,0,99.9996
2947,0,99.9996
2948,0,99.9996
2949,0,99.9996
2950,0,99.9996
2951,0,99.9996
2952,0,99.9996
2953,0,99.9996
2954,0,99.9996
2955,0,99.9996
2956,0,99.9996
2957,0,99.9996
2958,0,99.9996
2959,0,99.9996
2960,0,99.9996
2961,0,99.9996
2962,0,99.9996
2963,0,99.9996
2964,0,99.9996
2965,0,99.9996
2966,0,99.9996
2967,0,99.9996
2968,0,99.9996
2969,0,99.9996
2970,0,99.9996
2971,0,99.9996
2972,0,99.9996
2973,0,99.9996
2974,0,99.9996
2975,0,99.9996
2976,0,99.9996
2977,0,99.9996
2978,0,99.9996
2979,0,99.9996
2980,0,99.9996
2981,0,99.9996
2982,0,99.9996
2983,0,99.9996
2984,0,99.9996
2985,0,99.9996
2986,0,99.9996
2987,0,99.9996
2988,0,99.9996
2989,0,99.9996
2990,0,99.9996
2991,0,99.9996
2992,0,99.9996
2993,0,99.9996
2994,0,99.9996
2995,0,99.9996
2996,0,99.9996
2997,0,99.9996
2998,0,99.9996
2999,0,99.9996
3000,0,99.9996
3001,0,99.9996
3002,0,99.9996
3003,0,99.9996
3004,0,99.9996
3005,0,99.9996
3006,0,99.9996
3007,0,99.9996
3008,0,99.9996
3009,0,99.9996
3010,0,99.9996
3011,0,99.9996
3012,0,99.9996
3013,0,99.9996
3014,0,99.9996
3015,0,99.9996
3016,0,99.9996
3017,0,99.9996
3018,0,99.9996
3019,0,99.9996
3020,0,99.9996
3021,0,99.9996
3022,0,99.9996
3023,0,99.9996
3024,0,99.9996
3025,0,99.9996
3026,0,99.9996
3027,0,99.9996
3028,0,99.9996
3029,0,99.9996
3030,0,99.9996
3031,0,99.9996
3032,0,99.9996
3033,0,99.9996
3034,0,99.9996
3035,0,99.9996
3036,0,99.9996
3037,0,99.9996
3038,0,99.9996
3039,0,99.9996
3040,0,99.9996
3041,0,99.9996
3042,0,99.9996
3043,0,99.9996
3044,0,99.9996
3045,0,99.9996
3046,0,99.9996
3047,0,99.9996
3048,0,99.9996
3049,0,99.9996
3050,0,99.9996
3051,0,99.9996
3052,0,99.9996
3053,0,99.9996
3054,0,99.9996
3055,0,99.9996
3056,0,99.9996
3057,0,99.9996
3058,0,99.9996
3059,0,99.9996
3060,0,99.9996
3061,0,99.9996
3062,0,99.9996
3063,0,99.9996
3064,0,99.9996
3065,0,99.9996
3066,0,99.9996
3067,0,99.9996
3068,0,99.9996
3069,0,99.9996
3070,0,99.9996
3071,0,99.9996
3072,0,99.9996
3073,0,99.9996
3074,0,99.9996
3075,0,99.9996
3076,0,99.9996
3077,0,99.9996
3078,0,99.9996
3079,0,99.9996
3080,0,99.9996
3081,0,99.9996
3082,0,99.9996
3083,0,99.9996
3084,0,99.9996
3085,0,99.9996
3086,0,99.9996
3087,0,99.9996
3088,0,99.9996
3089,0,99.9996
3090,0,99.9996
3091,0,99.9996
3092,0,99.9996
3093,0,99.9996
3094,0,99.9996
3095,0,99.9996
3096,0,99.9996
3097,0,99.9996
3098,0,99.9996
3099,0,99.9996
3100,0,99.9996
3101,0,99.9996
3102,0,99.9996
3103,0,99.9996
3104,0,99.9996
3105,0,99.9996
3106,0,99.9996
3107,0,99.9996
3108,0,99.9996
3109,0,99.9996
3110,0,99.9996
3111,0,99.9996
3112,0,99.9996
3113,0,99.9996
3114,0,99.9996
3115,0,99.9996
3116,0,99.9996
3117,0,99.9996
3118,0,99.9996
3119,0,99.9996
3120,0,99.9996
3121,0,99.9996
3122,0,99.9996
3123,0,99.9996
3124,0,99.9996
3125,0,99.9996
3126,0,99.9996
3127,0,99.9996
3128,0,99.9996
3129,0,99.9996
3130,0,99.9996
3131,0,99.9996
3132,0,99.9996
3133,0,99.9996
3134,0,99.9996
3135,0,99.9996
3136,0,99.9996
3137,0,99.9996
3138,0,99.9996
3139,0,99.9996
3140,0,99.9996
3141,0,99.9996
3142,0,99.9996
3143,0,99.9996
3144,0,99.9996
3145,0,99.9996
3146,0,99.9996
3147,0,99.9996
3148,0,99.9996
3149,0,99.9996
3150,0,99.9996
3151,0,99.9996
3152,0,99.9996
3153,0,99.9996
3154,0,99.9996
3155,0,99.9996
3156,0,99.9996
3157,0,99.9996
3158,0,99.9996
3159,0,99.9996
3160,0,99.9996
3161,0,99.9996
3162,0,99.9996
3163,0,99.9996
3164,0,99.9996
3165,0,99.9996
3166,0,99.9996
3167,0,99.9996
3168,0,99.9996
3169,0,99.9996
3170,0,99.9996
3171,0,99.9996
3172,0,99.9996
3173,0,99.9996
3174,0,99.9996
3175,0,99.9996
3176,0,99.9996
3177,0,99.9996
3178,0,99.9996
3179,0,99.9996
3180,0,99.9996
3181,0,99.9996
3182,0,99.9996
3183,0,99.9996
3184,0,99.9996
3185,0,99.9996
3186,0,99.9996
3187,0,99.9996
3188,0,99.9996
3189,0,99.9996
3190,0,99.9996
3191,0,99.9996
3192,0,99.9996
3193,0,99.9996
3194,0,99.9996
3195,0,99.9996
3196,0,99.9996
3197,0,99.9996
3198,0,99.9996
3199,0,99.9996
3200,0,99.9996
3201,0,99.9996
3202,0,99.9996
3203,0,99.9996
3204,0,99.9996
3205,0,99.9996
3206,0,99.9996
3207,0,99.9996
3208,0,99.9996
3209,0,99.9996
3210,0,99.9996
3211,0,99.9996
3212,0,99.9996
3213,0,99.9996
3214,0,99.9996
3215,0,99.9996
3216,0,99.9996
3217,0,99.9996
3218,0,99.9996
3219,0,99.9996
3220,0,99.9996
3221,0,99.9996
3222,0,99.9996
3223,0,99.9996
3224,0,99.9996
3225,0,99.9996
3226,0,99.9996
3227,0,99.9996
3228,0,99.9996
3229,0,99.9996
3230,0,99.9996
3231,0,99.9996
3232,0,99.9996
3233,0,99.9996
3234,0,99.9996
3235,0,99.9996
3236,0,99.9996
3237,0,99.9996
3238,0,99.9996
3239,0,99.9996
3240,0,99.9996
3241,0,99.9996
3242,0,99.9996
3243,0,99.9996
3244,0,99.9996
3245,0,99.9996
3246,0,99.9996
3247,0,99.9996
3248,0,99.9996
3249,0,99.9996
3250,0,99.9996
3251,0,99.9996
3252,0,99.9996
3253,0,99.9996
3254,0,99.9996
3255,0,99.9996
3256,0,99.9996
3257,0,99.9996
3258,0,99.9996
3259,0,99.9996
3260,0,99.9996
3261,0,99.9996
3262,0,99.9996
3263,0,99.9996
3264,0,99.9996
3265,0,99.9996
3266,0,99.9996
3267,0,99.9996
3268,0,99.9996
3269,0,99.9996
3270,0,99.9996
3271,0,99.9996
3272,0,99.9996
3273,0,99.9996
3274,0,99.9996
3275,0,99.9996
3276,0,99.9996
3277,0,99.9996
3278,0,99.9996
3279,0,99.9996
3280,0,99.9996
3281,0,99.9996
3282,0,99.9996
3283,0,99.9996
3284,0,99.9996
3285,0,99.9996
3286,0,99.9996
3287,0,99.9996
3288,0,99.9996
3289,0,99.9996
3290,0,99.9996
3291,0,99.9996
3292,0,99.9996
3293,0,99.9996
3294,0,99.9996
3295,0,99.9996
3296,0,99.9996
3297,0,99.9996
3298,0,99.9996
3299,0,99.9996
3300,0,99.9996
3301,0,99.9996
3302,0,99.9996
3303,0,99.9996
3304,0,99.9996
3305,0,99.9996
3306,0,99.9996
3307,0,99.9996
3308,0,99.9996
3309,0,99.9996
3310,0,99.9996
3311,0,99.9996
3312,0,99.9996
3313,0,99.9996
3314,0,99.9996
3315,0,99.9996
3316,0,99.9996
3317,0,99.9996
3318,0,99.9996
3319,0,99.9996
3320,0,99.9996
3321,0,99.9996
3322,0,99.9996
3323,0,99.9996
3324,0,99.9996
3325,0,99.9996
3326,0,99.9996
3327,0,99.9996
3328,0,99.9996
3329,0,99.9996
3330,0,99.9996
3331,0,99.9996
3332,0,99.9996
3333,0,99.9996
3334,0,99.9996
3335,0,99.9996
3336,0,99.9996
3337,0,99.9996
3338,0,99.9996
3339,0,99.9996
3340,0,99.9996
3341,0,99.9996
3342,0,99.9996
3343,0,99.9996
3344,0,99.9996
3345,0,99.9996
3346,0,99.9996
3347,0,99.9996
3348,0,99.9996
3349,0,99.9996
3350,0,99.9996
3351,0,99.9996
3352,0,99.9996
3353,0,99.9996
3354,0,99.9996
3355,0,99.9996
3356,0,99.9996
3357,0,99.9996
3358,0,99.9996
3359,0,99.9996
3360,0,99.9996
3361,0,99.9996
3362,0,99.9996
3363,0,99.9996
3364,0,99.9996
3365,0,99.9996
3366,0,99.9996
3367,0,99.9996
3368,0,99.9996
3369,0,99.9996
3370,0,99.9996
3371,0,99.9996
3372,0,99.9996
3373,0,99.9996
3374,0,99.9996
3375,0,99.9996
3376,0,99.9996
3377,0,99.9996
3378,0,99.9996
3379,0,99.9996
3380,0,99.9996
3381,0,99.9996
3382,0,99.9996
3383,0,99.9996
3384,0,99.9996
3385,0,99.9996
3386,0,99.9996
3387,0,99.9996
3388,0,99.9996
3389,0,99.9996
3390,0,99.9996
3391,0,99.9996
3392,0,99.9996
3393,0,99.9996
3394,0,99.9996
3395,0,99.9996
3396,0,99.9996
3397,0,99.9996
3398,0,99.9996
3399,0,99.9996
3400,0,99.9996
3401,0,99.9996
3402,0,99.9996
3403,0,99.9996
3404,0,99.9996
3405,0,99.9996
3406,0,99.9996
3407,0,99.9996
3408,0,99.9996
3409,0,99.9996
3410,0,99.9996
3411,0,99.9996
3412,0,99.9996
3413,0,99.9996
3414,0,99.9996
3415,0,99.9996
3416,0,99.9996
3417,0,99.9996
3418,0,99.9996
3419,0,99.9996
3420,0,99.9996
3421,0,99.9996
3422,0,99.9996
3423,0,99.9996
3424,0,99.9996
3425,0,99.9996
3426,0,99.9996
3427,0,99.9996
3428,0,99.9996
3429,0,99.9996
3430,0,99.9996
3431,0,99.9996
3432,0,99.9996
3433,0,99.9996
3434,0,99.9996
3435,0,99.9996
3436,0,99.9996
3437,0,99.9996
3438,0,99.9996
3439,0,99.9996
3440,0,99.9996
3441,0,99.9996
3442,0,99.9996
3443,0,99.9996
3444,0,99.9996
3445,0,99.9996
3446,0,99.9996
3447,0,99.9996
3448,0,99.9996
3449,0,99.9996
3450,0,99.9996
3451,0,99.9996
3452,0,99.9996
3453,0,99.9996
3454,0,99.9996
3455,0,99.9996
3456,0,99.9996
3457,0,99.9996
3458,0,99.9996
3459,0,99.9996
3460,0,99.9996
3461,0,99.9996
3462,0,99.9996
3463,0,99.9996
3464,0,99.9996
3465,0,99.9996
3466,0,99.9996
3467,0,99.9996
3468,0,99.9996
3469,0,99.9996
3470,0,99.9996
3471,0,99.9996
3472,0,99.9996
3473,0,99.9996
3474,0,99.9996
3475,0,99.9996
3476,0,99.9996
3477,0,99.9996
3478,0,99.9996
3479,0,99.9996
3480,0,99.9996
3481,0,99.9996
3482,0,99.9996
3483,0,99.9996
3484,0,99.9996
3485,0,99.9996
3486,0,99.9996
3487,0,99.9996
3488,0,99.9996
3489,0,99.9996
3490,0,99.9996
3491,0,99.9996
3492,0,99.9996
3493,0,99.9996
3494,0,99.9996
3495,0,99.9996
3496,0,99.9996
3497,0,99.9996
3498,0,99.9996
3499,0,99.9996
3500,0,99.9996
3501,0,99.9996
3502,0,99.9996
3503,0,99.9996
3504,0,99.9996
3505,0,99.9996
3506,0,99.9996
3507,0,99.9996
3508,0,99.9996
3509,0,99.9996
3510,0,99.9996
3511,0,99.9996
3512,0,99.9996
3513,0,99.9996
3514,0,99.9996
3515,0,99.9996
3516,0,99.9996
3517,0,99.9996
3518,0,99.9996
3519,0,99.9996
3520,0,99.9996
3521,0,99.9996
3522,0,99.9996
3523,0,99.9996
3524,0,99.9996
3525,0,99.9996
3526,0,99.9996
3527,0,99.9996
3528,0,99.9996
3529,0,99.9996
3530,0,99.9996
3531,0,99.9996
3532,0,99.9996
3533,0,99.9996
3534,0,99.9996
3535,0,99.9996
3536,0,99.9996
3537,0,99.9996
3538,0,99.9996
3539,0,99.9996
3540,0,99.9996
3541,0,99.9996
3542,0,99.9996
3543,0,99.9996
3544,0,99.9996
3545,0,99.9996
3546,0,99.9996
3547,0,99.9996
3548,0,99.9996
3549,0,99.9996
3550,0,99.9996
3551,0,99.9996
3552,0,99.9996
3553,0,99.9996
3554,0,99.9996
3555,0,99.9996
3556,0,99.9996
3557,0,99.9996
3558,0,99.9996
3559,0,99.9996
3560,0,99.9996
3561,0,99.9996
3562,0,99.9996
3563,0,99.9996
3564,0,99.9996
3565,0,99.9996
3566,0,99.9996
3567,0,99.9996
3568,0,99.9996
3569,0,99.9996
3570,0,99.9996
3571,0,99.9996
3572,0,99.9996
3573,0,99.9996
3574,0,99.9996
3575,0,99.9996
3576,0,99.9996
3577,0,99.9996
3578,0,99.9996
3579,0,99.9996
3580,0,99.9996
3581,0,99.9996
3582,0,99.9996
3583,0,99.9996
3584,0,99.9996
3585,0,99.9996
3586,0,99.9996
3587,0,99.9996
3588,0,99.9996
3589,0,99.9996
3590,0,99.9996
3591,0,99.9996
3592,0,99.9996
3593,0,99.9996
3594,0,99.9996
3595,0,99.9996
3596,0,99.9996
3597,0,99.9996
3598,0,99.9996
3599,0,99.9996
3600,0,99.9996
3601,0,99.9996
3602,0,99.9996
3603,0,99.9996
3604,0,99.9996
3605,0,99.9996
3606,0,99.9996
3607,0,99.9996
3608,0,99.9996
3609,0,99.9996
3610,0,99.9996
3611,0,99.9996
3612,0,99.9996
3613,0,99.9996
3614,0,99.9996
3615,0,99.9996
3616,0,99.9996
3617,0,99.9996
3618,0,99.9996
3619,0,99.9996
3620,0,99.9996
3621,0,99.9996
3622,0,99.9996
3623,0,99.9996
3624,0,99.9996
3625,0,99.9996
3626,0,99.9996
3627,0,99.9996
3628,0,99.9996
3629,0,99.9996
3630,0,99.9996
3631,0,99.9996
3632,0,99.9996
3633,0,99.9996
3634,0,99.9996
3635,0,99.9996
3636,0,99.9996
3637,0,99.9996
3638,0,99.9996
3639,0,99.9996
3640,0,99.9996
3641,0,99.9996
3642,0,99.9996
3643,0,99.9996
3644,0,99.9996
3645,0,99.9996
3646,0,99.9996
3647,0,99.9996
3648,0,99.9996
3649,0,99.9996
3650,0,99.9996
3651,0,99.9996
3652,0,99.9996
3653,0,99.9996
3654,0,99.9996
3655,0,99.9996
3656,0,99.9996
3657,0,99.9996
3658,0,99.9996
3659,0,99.9996
3660,0,99.9996
3661,0,99.9996
3662,0,99.9996
3663,0,99.9996
3664,0,99.9996
3665,0,99.9996
3666,0,99.9996
3667,0,99.9996
3668,0,99.9996
3669,0,99.9996
3670,0,99.9996
3671,0,99.9996
3672,0,99.9996
3673,0,99.9996
3674,0,99.9996
3675,0,99.9996
3676,0,99.9996
3677,0,99.9996
3678,0,99.9996
3679,0,99.9996
3680,0,99.9996
3681,0,99.9996
3682,0,99.9996
3683,0,99.9996
3684,0,99.9996
3685,0,99.9996
3686,0,99.9996
3687,0,99.9996
3688,0,99.9996
3689,0,99.9996
3690,0,99.9996
3691,0,99.9996
3692,0,99.9996
3693,0,99.9996
3694,0,99.9996
3695,0,99.9996
3696,0,99.9996
3697,0,99.9996
3698,0,99.9996
3699,0,99.9996
3700,0,99.9996
3701,0,99.9996
3702,0,99.9996
3703,0,99.9996
3704,0,99.9996
3705,0,99.9996
3706,0,99.9996
3707,0,99.9996
3708,0,99.9996
3709,0,99.9996
3710,0,99.9996
3711,0,99.9996
3712,0,99.9996
3713,0,99.9996
3714,0,99.9996
3715,0,99.9996
3716,0,99.9996
3717,0,99.9996
3718,0,99.9996
3719,0,99.9996
3720,0,99.9996
3721,0,99.9996
3722,0,99.9996
3723,0,99.9996
3724,0,99.9996
3725,0,99.9996
3726,0,99.9996
3727,0,99.9996
3728,0,99.9996
3729,0,99.9996
3730,0,99.9996
3731,0,99.9996
3732,0,99.9996
3733,0,99.9996
3734,0,99.9996
3735,0,99.9996
3736,0,99.9996
3737,0,99.9996
3738,0,99.9996
3739,0,99.9996
3740,0,99.9996
3741,0,99.9996
3742,0,99.9996
3743,0,99.9996
3744,0,99.9996
3745,0,99.9996
3746,0,99.9996
3747,0,99.9996
3748,0,99.9996
3749,0,99.9996
3750,0,99.9996
3751,0,99.9996
3752,0,99.9996
3753,0,99.9996
3754,0,99.9996
3755,0,99.9996
3756,0,99.9996
3757,0,99.9996
3758,0,99.9996
3759,0,99.9996
3760,0,99.9996
3761,0,99.9996
3762,0,99.9996
3763,0,99.9996
3764,0,99.9996
3765,0,99.9996
3766,0,99.9996
3767,0,99.9996
3768,0,99.9996
3769,0,99.9996
3770,0,99.9996
3771,0,99.9996
3772,0,99.9996
3773,0,99.9996
3774,0,99.9996
3775,0,99.9996
3776,0,99.9996
3777,0,99.9996
3778,0,99.9996
3779,0,99.9996
3780,0,99.9996
3781,0,99.9996
3782,0,99.9996
3783,0,99.9996
3784,0,99.9996
3785,0,99.9996
3786,0,99.9996
3787,0,99.9996
3788,0,99.9996
3789,0,99.9996
3790,0,99.9996
3791,0,99.9996
3792,0,99.9996
3793,0,99.9996
3794,0,99.9996
3795,0,99.9996
3796,0,99.9996
3797,0,99.9996
3798,0,99.9996
3799,0,99.9996
3800,0,99.9996
3801,0,99.9996
3802,0,99.9996
3803,0,99.9996
3804,0,99.9996
3805,0,99.9996
3806,0,99.9996
3807,0,99.9996
3808,0,99.9996
3809,0,99.9996
3810,0,99.9996
3811,0,99.9996
3812,0,99.9996
3813,0,99.9996
3814,0,99.9996
3815,0,99.9996
3816,0,99.9996
3817,0,99.9996
3818,0,99.9996
3819,0,99.9996
3820,0,99.9996
3821,0,99.9996
3822,0,99.9996
3823,0,99.9996
3824,0,99.9996
3825,0,99.9996
3826,0,99.9996
3827,0,99.9996
3828,0,99.9996
3829,0,99.9996
3830,0,99.9996
3831,0,99.9996
3832,0,99.9996
3833,0,99.9996
3834,0,99.9996
3835,0,99.9996
3836,0,99.9996
3837,0,99.9996
3838,0,99.9996
3839,0,99.9996
3840,0,99.9996
3841,0,99.9996
3842,0,99.9996
3843,0,99.9996
3844,0,99.9996
3845,0,99.9996
3846,0,99.9996
3847,0,99.9996
3848,0,99.9996
3849,0,99.9996
3850,0,99.9996
3851,0,99.9996
3852,0,99.9996
3853,0,99.9996
3854,0,99.9996
3855,0,99.9996
3856,0,99.9996
3857,0,99.9996
3858,0,99.9996
3859,0,99.9996
3860,0,99.9996
3861,0,99.9996
3862,0,99.9996
3863,0,99.9996
3864,0,99.9996
3865,0,99.9996
3866,0,99.9996
3867,0,99.9996
3868,0,99.9996
3869,0,99.9996
3870,0,99.9996
3871,0,99.9996
3872,0,99.9996
3873,0,99.9996
3874,0,99.9996
3875,0,99.9996
3876,0,99.9996
3877,0,99.9996
3878,0,99.9996
3879,0,99.9996
3880,0,99.9996
3881,0,99.9996
3882,0,99.9996
3883,0,99.9996
3884,0,99.9996
3885,0,99.9996
3886,0,99.9996
3887,0,99.9996
3888,0,99.9996
3889,0,99.9996
3890,0,99.9996
3891,0,99.9996
3892,0,99.9996
3893,0,99.9996
3894,0,99.9996
3895,0,99.9996
3896,0,99.9996
3897,0,99.9996
3898,0,99.9996
3899,0,99.9996
3900,0,99.9996
3901,0,99.9996
3902,0,99.9996
3903,0,99.9996
3904,0,99.9996
3905,0,99.9996
3906,0,99.9996
3907,0,99.9996
3908,0,99.9996
3909,0,99.9996
3910,0,99.9996
3911,0,99.9996
3912,0,99.9996
3913,0,99.9996
3914,0,99.9996
3915,0,99.9996
3916,0,99.9996
3917,0,99.9996
3918,0,99.9996
3919,0,99.9996
3920,0,99.9996
3921,0,99.9996
3922,0,99.9996
3923,0,99.9996
3924,0,99.9996
3925,0,99.9996
3926,0,99.9996
3927,0,99.9996
3928,0,99.9996
3929,0,99.9996
3930,0,99.9996
3931,0,99.9996
3932,0,99.9996
3933,0,99.9996
3934,0,99.9996
3935,0,99.9996
3936,0,99.9996
3937,0,99.9996
3938,0,99.9996
3939,0,99.9996
3940,0,99.9996
3941,0,99.9996
3942,0,99.9996
3943,0,99.9996
3944,0,99.9996
3945,0,99.9996
3946,0,99.9996
3947,0,99.9996
3948,0,99.9996
3949,0,99.9996
3950,0,99.9996
3951,0,99.9996
3952,0,99.9996
3953,0,99.9996
3954,0,99.9996
3955,0,99.9996
3956,0,99.9996
3957,0,99.9996
3958,0,99.9996
3959,0,99.9996
3960,0,99.9996
3961,0,99.9996
3962,0,99.9996
3963,0,99.9996
3964,0,99.9996
3965,0,99.9996
3966,0,99.9996
3967,0,99.9996
3968,0,99.9996
3969,0,99.9996
3970,0,99.9996
3971,0,99.9996
3972,0,99.9996
3973,0,99.9996
3974,0,99.9996
3975,0,99.9996
3976,0,99.9996
3977,0,99.9996
3978,0,99.9996
3979,0,99.9996
3980,0,99.9996
3981,0,99.9996
3982,0,99.9996
3983,0,99.9996
3984,0,99.9996
3985,0,99.9996
3986,0,99.9996
3987,0,99.9996
3988,0,99.9996
3989,0,99.9996
3990,0,99.9996
3991,0,99.9996
3992,0,99.9996
3993,0,99.9996
3994,0,99.9996
3995,0,99.9996
3996,0,99.9996
3997,0,99.9996
3998,0,99.9996
3999,0,99.9996
4000,0,99.9996
4001,0,99.9996
4002,0,99.9996
4003,0,99.9996
4004,0,99.9996
4005,0,99.9996
4006,0,99.9996
4007,0,99.9996
4008,0,99.9996
4009,0,99.9996
4010,0,99.9996
4011,0,99.9996
4012,0,99.9996
4013,0,99.9996
4014,0,99.9996
4015,0,99.9996
4016,0,99.9996
4017,0,99.9996
4018,0,99.9996
4019,0,99.9996
4020,0,99.9996
4021,0,99.9996
4022,0,99.9996
4023,0,99.9996
4024,0,99.9996
4025,0,99.9996
4026,0,99.9996
4027,0,99.9996
4028,0,99.9996
4029,0,99.9996
4030,0,99.9996
4031,0,99.9996
4032,0,99.9996
4033,0,99.9996
4034,0,99.9996
4035,0,99.9996
4036,0,99.9996
4037,0,99.9996
4038,0,99.9996
4039,0,99.9996
4040,0,99.9996
4041,0,99.9996
4042,0,99.9996
4043,0,99.9996
4044,0,99.9996
4045,0,99.9996
4046,0,99.9996
4047,0,99.9996
4048,0,99.9996
4049,0,99.9996
4050,0,99.9996
4051,0,99.9996
4052,0,99.9996
4053,0,99.9996
4054,0,99.9996
4055,0,99.9996
4056,0,99.9996
4057,0,99.9996
4058,0,99.9996
4059,0,99.9996
4060,0,99.9996
4061,0,99.9996
4062,0,99.9996
4063,0,99.9996
4064,0,99.9996
4065,0,99.9996
4066,0,99.9996
4067,0,99.9996
4068,0,99.9996
4069,0,99.9996
4070,0,99.9996
4071,0,99.9996
4072,0,99.9996
4073,0,99.9996
4074,0,99.9996
4075,0,99.9996
4076,0,99.9996
4077,0,99.9996
4078,0,99.9996
4079,0,99.9996
4080,0,99.9996
4081,0,99.9996
4082,0,99.9996
4083,0,99.9996
4084,0,99.9996
4085,0,99.9996
4086,0,99.9996
4087,0,99.9996
4088,0,99.9996
4089,0,99.9996
4090,1,100
4096,0,100
