# Source File Name = manual_corpus.txt
#
# Memory Chunck Size = 4096
#
# Length in byte,Number of length,Total % of Length
#
766,0,99.9707
767,1,99.9711
768,0,99.9711
769,1,99.9715
770,2,99.9723
771,0,99.9723
772,1,99.9727
773,0,99.9727
774,3,99.9739
775,0,99.9739
776,0,99.9739
777,0,99.9739
778,0,99.9739
779,0,99.9739
780,0,99.9739
781,0,99.9739
782,0,99.9739
783,2,99.9746
784,0,99.9746
785,1,99.975
786,0,99.975
787,0,99.975
788,0,99.975
789,1,99.9754
790,0,99.9754
791,0,99.9754
792,1,99.9758
793,0,99.9758
794,0,99.9758
795,0,99.9758
796,0,99.9758
797,0,99.9758
798,0,99.9758
799,0,99.9758
800,0,99.9758
801,0,99.9758
802,0,99.9758
803,0,99.9758
804,0,99.9758
805,0,99.9758
806,0,99.9758
807,0,99.9758
808,0,99.9758
809,0,99.9758
810,0,99.9758
811,0,99.9758
812,0,99.9758
813,1,99.9762
814,0,99.9762
815,1,99.9766
816,0,99.9766
817,0,99.9766
818,0,99.9766
819,0,99.9766
820,0,99.9766
821,0,99.9766
822,0,99.9766
823,0,99.9766
824,0,99.9766
825,2,99.9774
826,0,99.9774
827,0,99.9774
828,0,99.9774
829,0,99.9774
830,0,99.9774
831,1,99.9778
832,0,99.9778
833,0,99.9778
834,0,99.9778
835,1,99.9782
836,0,99.9782
837,1,99.9785
838,1,99.9789
839,0,99.9789
840,1,99.9793
841,0,99.9793
842,0,99.9793
843,0,99.9793
844,1,99.9797
845,0,99.9797
846,0,99.9797
847,0,99.9797
848,0,99.9797
849,0,99.9797
850,0,99.9797
851,0,99.9797
852,0,99.9797
853,0,99.9797
854,0,99.9797
855,0,99.9797
856,0,99.9797
857,1,99.9801
858,0,99.9801
859,0,99.9801
860,0,99.9801
861,0,99.9801
862,0,99.9801
863,0,99.9801
864,0,99.9801
865,0,99.9801
866,0,99.9801
867,2,99.9809
868,1,99.9813
869,6,99.9836
870,1,99.984
871,0,99.984
872,1,99.9844
873,0,99.9844
874,0,99.9844
875,1,99.9848
876,0,99.9848
877,0,99.9848
878,1,99.9852
